flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,goes_estimated_min_class,goes_estimated_max_class,goes_estimated_mean_class,goes_estimated_min_flux,goes_estimated_max_flux,goes_estimated_mean_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S,filenames
2501010019,172,False,2025-01-01T00:19:08.419,628.3333333333336,70179,C4.9,4.894812263955828e-06,B6,C1,B8,-6.218996561564428,-5.92654470125989,-6.0791282314121595,,,2025-01-01T00:18:32.418,2025-01-01T00:21:24.419,1215,303.0,91,41.0,61,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20241231T231254-20250101T002939_V02_2412313954-57447.fits
2501010038,376,False,2025-01-01T00:38:52.421,628.3333333333336,70180,C5.8,5.829856490890961e-06,B8,C2,C1,-6.073119314246763,-5.754193893396466,-5.920014203821615,,,2025-01-01T00:35:24.420,2025-01-01T00:41:40.421,2175,303.0,167,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T003014-20250101T004639_V02_2501013576-57448.fits
2501010102,764,False,2025-01-01T01:02:40.423,509.98792743420586,70181,C5.6,5.621568107017083e-06,B8,C2,C1,-6.073122248331648,-5.7541973359398355,-5.920017392135742,,,2025-01-01T00:56:36.423,2025-01-01T01:09:20.424,2175,303.0,247,41.0,75,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T004650-20250101T033514_V02_2501010648-57255.fits
2501010143,1060,False,2025-01-01T01:43:12.428,221.40000000000006,70186,C6.8,6.825560376455542e-06,C1,C3,C2,-5.8481481656820495,-5.492530315209205,-5.676696840445627,,,2025-01-01T01:36:04.427,2025-01-01T01:53:44.429,5375,303.0,303,41.0,75,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T004650-20250101T033514_V02_2501010648-57255.fits
2501010208,620,False,2025-01-01T02:08:08.430,221.40000000000006,70187,C8.3,8.315388186019845e-06,C1,C2,C2,-5.958827254015254,-5.6207224250992285,-5.7961324395572404,,,2025-01-01T02:06:52.430,2025-01-01T02:17:12.431,3455,303.0,167,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T004650-20250101T033514_V02_2501010648-57255.fits
2501010218,60,False,2025-01-01T02:18:36.432,221.40000000000006,70188,C7.4,7.422486305586062e-06,C1,C2,C1,-5.998527320024618,-5.666948354352028,-5.839095437188323,,,2025-01-01T02:18:08.432,2025-01-01T02:19:08.432,2943,303.0,151,41.0,57,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T004650-20250101T033514_V02_2501010648-57255.fits
2501010232,516,False,2025-01-01T02:32:24.433,221.40000000000006,70189,C6.9,6.912309345352696e-06,C1,C2,C2,-5.977905824788713,-5.6429199438920365,-5.816770484340375,,,2025-01-01T02:30:48.433,2025-01-01T02:39:24.434,3199,303.0,199,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T004650-20250101T033514_V02_2501010648-57255.fits
2501010257,220,False,2025-01-01T02:57:48.436,221.40000000000006,70190,C5.8,5.84279359827633e-06,B8,C2,C1,-6.112492510493998,-5.800471421977198,-5.962839566235598,,,2025-01-01T02:56:00.436,2025-01-01T02:59:40.436,1855,303.0,151,41.0,67,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T004650-20250101T033514_V02_2501010648-57255.fits
2501010312,848,False,2025-01-01T03:12:16.437,221.40000000000006,70191,C5.8,5.797897756565362e-06,C1,C2,C1,-5.99853445953442,-5.666956679958792,-5.839103169746605,,,2025-01-01T03:04:20.437,2025-01-01T03:18:28.438,2943,303.0,335,41.0,99,49.0,735,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T004650-20250101T033514_V02_2501010648-57255.fits
2501010348,1968,False,2025-01-01T03:48:24.442,221.40000000000006,70193,C8.2,8.193617759388871e-06,C3,C7,C4,-5.537961273194914,-5.1375955995108065,-5.34413603635286,,,2025-01-01T03:38:00.440,2025-01-01T04:10:48.344,17407,303.0,1599,41.0,271,49.0,671,607.0,335,303.0,raw_fits\solo_L1_stix-sci-xray-cpd_20250101T033601-20250101T041256_V02_2501014462-57284.fits
